ticker,per,date,time,close,vol
АЛРОСА ао,D,2016-06-06,000000,69.3,6447800
АЛРОСА ао,D,2016-06-07,000000,71.46,10594000
АЛРОСА ао,D,2016-06-08,000000,73.08,10835200
АЛРОСА ао,D,2016-06-09,000000,73.11,4434900
АЛРОСА ао,D,2016-06-10,000000,70.7,7216400
АЛРОСА ао,D,2016-06-11,000000,70.7,0
АЛРОСА ао,D,2016-06-12,000000,70.7,0
АЛРОСА ао,D,2016-06-13,000000,70.7,0
АЛРОСА ао,D,2016-06-14,000000,70,8460600
АЛРОСА ао,D,2016-06-15,000000,68.95,11316600
АЛРОСА ао,D,2016-06-16,000000,70.75,11603800
АЛРОСА ао,D,2016-06-17,000000,71.68,8577400
АЛРОСА ао,D,2016-06-18,000000,71.68,0
АЛРОСА ао,D,2016-06-19,000000,71.68,0
АЛРОСА ао,D,2016-06-20,000000,72.94,7346100
АЛРОСА ао,D,2016-06-21,000000,73.11,4191900
АЛРОСА ао,D,2016-06-22,000000,71.5,5098300
АЛРОСА ао,D,2016-06-23,000000,71.42,3809600
АЛРОСА ао,D,2016-06-24,000000,72.15,4845600
АЛРОСА ао,D,2016-06-25,000000,72.15,0
АЛРОСА ао,D,2016-06-26,000000,72.15,0
АЛРОСА ао,D,2016-06-27,000000,70,3800500
АЛРОСА ао,D,2016-06-28,000000,69.9,8140400
АЛРОСА ао,D,2016-06-29,000000,69.5,7579000
АЛРОСА ао,D,2016-06-30,000000,69.29,6392800
АЛРОСА ао,D,2016-07-01,000000,68.5,3226100
АЛРОСА ао,D,2016-07-02,000000,68.5,0
АЛРОСА ао,D,2016-07-03,000000,68.5,0
АЛРОСА ао,D,2016-07-04,000000,69.5,15806700
АЛРОСА ао,D,2016-07-05,000000,69.6,8259600
АЛРОСА ао,D,2016-07-06,000000,68.71,11767900
АЛРОСА ао,D,2016-07-07,000000,67.63,19247600
АЛРОСА ао,D,2016-07-08,000000,67.55,15291500
АЛРОСА ао,D,2016-07-09,000000,67.55,0
АЛРОСА ао,D,2016-07-10,000000,67.55,0
АЛРОСА ао,D,2016-07-11,000000,67.86,25584700
АЛРОСА ао,D,2016-07-12,000000,69.18,16455800
АЛРОСА ао,D,2016-07-13,000000,71.2,34693500
АЛРОСА ао,D,2016-07-14,000000,70.99,53549300
АЛРОСА ао,D,2016-07-15,000000,70.5,18390700
АЛРОСА ао,D,2016-07-16,000000,70.5,0
АЛРОСА ао,D,2016-07-17,000000,70.5,0
АЛРОСА ао,D,2016-07-18,000000,69,15298700
АЛРОСА ао,D,2016-07-19,000000,70.83,13087000
АЛРОСА ао,D,2016-07-20,000000,70,10497200
АЛРОСА ао,D,2016-07-21,000000,70,32305000
АЛРОСА ао,D,2016-07-22,000000,70.01,17260800
АЛРОСА ао,D,2016-07-23,000000,70.01,0
АЛРОСА ао,D,2016-07-24,000000,70.01,0
АЛРОСА ао,D,2016-07-25,000000,70.29,13377600
АЛРОСА ао,D,2016-07-26,000000,70.48,7960100
АЛРОСА ао,D,2016-07-27,000000,70.7,7590600
АЛРОСА ао,D,2016-07-28,000000,71.6,11251200
АЛРОСА ао,D,2016-07-29,000000,71.25,6969300
АЛРОСА ао,D,2016-07-30,000000,71.25,0
АЛРОСА ао,D,2016-07-31,000000,71.25,0
АЛРОСА ао,D,2016-08-01,000000,70.94,6504600
АЛРОСА ао,D,2016-08-02,000000,70.89,11549800
АЛРОСА ао,D,2016-08-03,000000,71.99,12306500
АЛРОСА ао,D,2016-08-04,000000,72.98,11720400
АЛРОСА ао,D,2016-08-05,000000,73.5,7737500
АЛРОСА ао,D,2016-08-06,000000,73.5,0
АЛРОСА ао,D,2016-08-07,000000,73.5,0
АЛРОСА ао,D,2016-08-08,000000,74.2,6191500
АЛРОСА ао,D,2016-08-09,000000,74.19,13336300
АЛРОСА ао,D,2016-08-10,000000,73.99,4866100
АЛРОСА ао,D,2016-08-11,000000,73.2,3548800
АЛРОСА ао,D,2016-08-12,000000,73.4,4496000
АЛРОСА ао,D,2016-08-13,000000,73.4,0
АЛРОСА ао,D,2016-08-14,000000,73.4,0
АЛРОСА ао,D,2016-08-15,000000,73.73,4134500
АЛРОСА ао,D,2016-08-16,000000,74,2844800
АЛРОСА ао,D,2016-08-17,000000,76,17672900
АЛРОСА ао,D,2016-08-18,000000,75.39,10031100
АЛРОСА ао,D,2016-08-19,000000,74.65,4690500
АЛРОСА ао,D,2016-08-20,000000,74.65,0
АЛРОСА ао,D,2016-08-21,000000,74.65,0
АЛРОСА ао,D,2016-08-22,000000,75.45,8791300
АЛРОСА ао,D,2016-08-23,000000,75.48,5160600
АЛРОСА ао,D,2016-08-24,000000,75.27,4098100
АЛРОСА ао,D,2016-08-25,000000,75.4,6407200
АЛРОСА ао,D,2016-08-26,000000,73,10015200
АЛРОСА ао,D,2016-08-27,000000,73,0
АЛРОСА ао,D,2016-08-28,000000,73,0
АЛРОСА ао,D,2016-08-29,000000,73.85,6739600
АЛРОСА ао,D,2016-08-30,000000,75.61,11535800
АЛРОСА ао,D,2016-08-31,000000,75.3,15735700
АЛРОСА ао,D,2016-09-01,000000,75.7,7012000
АЛРОСА ао,D,2016-09-02,000000,76.53,10608100
АЛРОСА ао,D,2016-09-03,000000,76.53,0
АЛРОСА ао,D,2016-09-04,000000,76.53,0
АЛРОСА ао,D,2016-09-05,000000,77.95,7369500
АЛРОСА ао,D,2016-09-06,000000,81.25,18165200
АЛРОСА ао,D,2016-09-07,000000,80.37,14520400
АЛРОСА ао,D,2016-09-08,000000,80.33,8971600
АЛРОСА ао,D,2016-09-09,000000,82.44,9718400
АЛРОСА ао,D,2016-09-10,000000,82.44,0
АЛРОСА ао,D,2016-09-11,000000,82.44,0
АЛРОСА ао,D,2016-09-12,000000,80.78,16857900
АЛРОСА ао,D,2016-09-13,000000,81.14,8443300
АЛРОСА ао,D,2016-09-14,000000,84,11681300
АЛРОСА ао,D,2016-09-15,000000,84.41,8715700
АЛРОСА ао,D,2016-09-16,000000,84.69,8766500
АЛРОСА ао,D,2016-09-17,000000,84.69,0
АЛРОСА ао,D,2016-09-18,000000,84.69,0
АЛРОСА ао,D,2016-09-19,000000,86.25,8644500
АЛРОСА ао,D,2016-09-20,000000,86.6,11923900
АЛРОСА ао,D,2016-09-21,000000,85.58,5829700
АЛРОСА ао,D,2016-09-22,000000,86.7,9453300
АЛРОСА ао,D,2016-09-23,000000,88.97,11971600
АЛРОСА ао,D,2016-09-24,000000,88.97,0
АЛРОСА ао,D,2016-09-25,000000,88.97,0
АЛРОСА ао,D,2016-09-26,000000,89.99,12366200
АЛРОСА ао,D,2016-09-27,000000,87,11770000
АЛРОСА ао,D,2016-09-28,000000,86.2,15494200
АЛРОСА ао,D,2016-09-29,000000,86.8,9258800
АЛРОСА ао,D,2016-09-30,000000,86.6,14395600
АЛРОСА ао,D,2016-10-01,000000,86.6,0
АЛРОСА ао,D,2016-10-02,000000,86.6,0
АЛРОСА ао,D,2016-10-03,000000,86.7,8289800
АЛРОСА ао,D,2016-10-04,000000,88.6,8921300
АЛРОСА ао,D,2016-10-05,000000,88.6,11756700
АЛРОСА ао,D,2016-10-06,000000,92.48,17539600
АЛРОСА ао,D,2016-10-07,000000,94.3,18781000
АЛРОСА ао,D,2016-10-08,000000,94.3,0
АЛРОСА ао,D,2016-10-09,000000,94.3,0
АЛРОСА ао,D,2016-10-10,000000,91.55,14459500
АЛРОСА ао,D,2016-10-11,000000,91.83,9408000
АЛРОСА ао,D,2016-10-12,000000,90.51,11973700
АЛРОСА ао,D,2016-10-13,000000,87.01,19371000
АЛРОСА ао,D,2016-10-14,000000,86.98,9062500
АЛРОСА ао,D,2016-10-15,000000,86.98,0
АЛРОСА ао,D,2016-10-16,000000,86.98,0
АЛРОСА ао,D,2016-10-17,000000,88.29,10733700
АЛРОСА ао,D,2016-10-18,000000,87.4,12334300
АЛРОСА ао,D,2016-10-19,000000,87.44,5885100
АЛРОСА ао,D,2016-10-20,000000,87,5480200
АЛРОСА ао,D,2016-10-21,000000,87.27,11285200
АЛРОСА ао,D,2016-10-22,000000,87.27,0
АЛРОСА ао,D,2016-10-23,000000,87.27,0
АЛРОСА ао,D,2016-10-24,000000,86.62,7187200
АЛРОСА ао,D,2016-10-25,000000,87.75,14786100
АЛРОСА ао,D,2016-10-26,000000,87.34,6256400
АЛРОСА ао,D,2016-10-27,000000,87.49,3865200
АЛРОСА ао,D,2016-10-28,000000,89,6313900
АЛРОСА ао,D,2016-10-29,000000,89,0
АЛРОСА ао,D,2016-10-30,000000,89,0
АЛРОСА ао,D,2016-10-31,000000,88.6,8695200
АЛРОСА ао,D,2016-11-01,000000,88.8,8180600
АЛРОСА ао,D,2016-11-02,000000,87.02,4230500
АЛРОСА ао,D,2016-11-03,000000,84.75,10095500
АЛРОСА ао,D,2016-11-04,000000,84.75,0
АЛРОСА ао,D,2016-11-05,000000,84.75,0
АЛРОСА ао,D,2016-11-06,000000,84.75,0
АЛРОСА ао,D,2016-11-07,000000,81.61,19540400
АЛРОСА ао,D,2016-11-08,000000,82,30849100
АЛРОСА ао,D,2016-11-09,000000,82.3,32603700
АЛРОСА ао,D,2016-11-10,000000,84.54,39842200
АЛРОСА ао,D,2016-11-11,000000,87.12,23498000
АЛРОСА ао,D,2016-11-12,000000,87.12,0
АЛРОСА ао,D,2016-11-13,000000,87.12,0
АЛРОСА ао,D,2016-11-14,000000,88.4,13532300
АЛРОСА ао,D,2016-11-15,000000,89,17218800
АЛРОСА ао,D,2016-11-16,000000,88.18,10218200
АЛРОСА ао,D,2016-11-17,000000,88.01,11979400
АЛРОСА ао,D,2016-11-18,000000,88.52,8526800
АЛРОСА ао,D,2016-11-19,000000,88.52,0
АЛРОСА ао,D,2016-11-20,000000,88.52,0
АЛРОСА ао,D,2016-11-21,000000,87.75,11331900
АЛРОСА ао,D,2016-11-22,000000,89.34,9019300
АЛРОСА ао,D,2016-11-23,000000,89.75,5886600
АЛРОСА ао,D,2016-11-24,000000,91,14395400
АЛРОСА ао,D,2016-11-25,000000,89.7,26100300
АЛРОСА ао,D,2016-11-26,000000,89.7,0
АЛРОСА ао,D,2016-11-27,000000,89.7,0
АЛРОСА ао,D,2016-11-28,000000,90.75,9219100
АЛРОСА ао,D,2016-11-29,000000,88.61,8046800
АЛРОСА ао,D,2016-11-30,000000,92.49,24908900
АЛРОСА ао,D,2016-12-01,000000,92.8,11794400
АЛРОСА ао,D,2016-12-02,000000,92.7,10521600
АЛРОСА ао,D,2016-12-03,000000,92.7,0
АЛРОСА ао,D,2016-12-04,000000,92.7,0
АЛРОСА ао,D,2016-12-05,000000,94.12,9008200
АЛРОСА ао,D,2016-12-06,000000,93.23,13108300
АЛРОСА ао,D,2016-12-07,000000,91.26,17192700
АЛРОСА ао,D,2016-12-08,000000,91.59,22886100
АЛРОСА ао,D,2016-12-09,000000,92,14365100
АЛРОСА ао,D,2016-12-10,000000,92,0
АЛРОСА ао,D,2016-12-11,000000,92,0
АЛРОСА ао,D,2016-12-12,000000,95,23247100
АЛРОСА ао,D,2016-12-13,000000,98.7,37148200
АЛРОСА ао,D,2016-12-14,000000,99.45,17631800
АЛРОСА ао,D,2016-12-15,000000,99,24351200
АЛРОСА ао,D,2016-12-16,000000,97.41,32411800
АЛРОСА ао,D,2016-12-17,000000,97.41,0
АЛРОСА ао,D,2016-12-18,000000,97.41,0
АЛРОСА ао,D,2016-12-19,000000,97.48,6635900
АЛРОСА ао,D,2016-12-20,000000,97.65,11375800
АЛРОСА ао,D,2016-12-21,000000,97.6,6631200
АЛРОСА ао,D,2016-12-22,000000,96.95,8216200
АЛРОСА ао,D,2016-12-23,000000,95.68,4583800
АЛРОСА ао,D,2016-12-24,000000,95.68,0
АЛРОСА ао,D,2016-12-25,000000,95.68,0
АЛРОСА ао,D,2016-12-26,000000,97.09,1860900
АЛРОСА ао,D,2016-12-27,000000,96.19,2936600
АЛРОСА ао,D,2016-12-28,000000,96.24,4905200
АЛРОСА ао,D,2016-12-29,000000,96.1,2922900
АЛРОСА ао,D,2016-12-30,000000,97.43,4324900
АЛРОСА ао,D,2016-12-31,000000,97.43,0
АЛРОСА ао,D,2017-01-01,000000,97.43,0
АЛРОСА ао,D,2017-01-02,000000,97.43,0
АЛРОСА ао,D,2017-01-03,000000,100.54,16953300
АЛРОСА ао,D,2017-01-04,000000,101.1,7773600
АЛРОСА ао,D,2017-01-05,000000,101.25,7216000
АЛРОСА ао,D,2017-01-06,000000,100.66,8298500
АЛРОСА ао,D,2017-01-07,000000,100.66,0
АЛРОСА ао,D,2017-01-08,000000,100.66,0
АЛРОСА ао,D,2017-01-09,000000,99.07,8970600
АЛРОСА ао,D,2017-01-10,000000,101.99,11269100
АЛРОСА ао,D,2017-01-11,000000,96.4,23829400
АЛРОСА ао,D,2017-01-12,000000,101.95,14809300
АЛРОСА ао,D,2017-01-13,000000,101.85,9140800
АЛРОСА ао,D,2017-01-14,000000,101.85,0
АЛРОСА ао,D,2017-01-15,000000,101.85,0
АЛРОСА ао,D,2017-01-16,000000,101,5347000
АЛРОСА ао,D,2017-01-17,000000,99.3,7327400
АЛРОСА ао,D,2017-01-18,000000,100.85,10542700
АЛРОСА ао,D,2017-01-19,000000,100.45,7073500
АЛРОСА ао,D,2017-01-20,000000,99.7,11396300
АЛРОСА ао,D,2017-01-21,000000,99.7,0
АЛРОСА ао,D,2017-01-22,000000,99.7,0
АЛРОСА ао,D,2017-01-23,000000,102,11994300
АЛРОСА ао,D,2017-01-24,000000,104.81,37491900
АЛРОСА ао,D,2017-01-25,000000,103.7,12186300
АЛРОСА ао,D,2017-01-26,000000,104.62,8766400
АЛРОСА ао,D,2017-01-27,000000,107.52,29588100
АЛРОСА ао,D,2017-01-28,000000,107.52,0
АЛРОСА ао,D,2017-01-29,000000,107.52,0
АЛРОСА ао,D,2017-01-30,000000,107.49,12783800
АЛРОСА ао,D,2017-01-31,000000,105.7,13604800
АЛРОСА ао,D,2017-02-01,000000,105.44,8328100
АЛРОСА ао,D,2017-02-02,000000,103.86,10594100
АЛРОСА ао,D,2017-02-03,000000,104.85,8314300
АЛРОСА ао,D,2017-02-04,000000,104.85,0
АЛРОСА ао,D,2017-02-05,000000,104.85,0
АЛРОСА ао,D,2017-02-06,000000,104.2,9144700
АЛРОСА ао,D,2017-02-07,000000,105.59,11067600
АЛРОСА ао,D,2017-02-08,000000,104.8,4695800
АЛРОСА ао,D,2017-02-09,000000,103.88,11486700
АЛРОСА ао,D,2017-02-10,000000,103.5,5179300
АЛРОСА ао,D,2017-02-11,000000,103.5,0
АЛРОСА ао,D,2017-02-12,000000,103.5,0
АЛРОСА ао,D,2017-02-13,000000,101.5,9867800
АЛРОСА ао,D,2017-02-14,000000,99.3,18152500
АЛРОСА ао,D,2017-02-15,000000,98.94,11478700
