ticker,per,date,time,close,vol
БСП ао,D,2016-06-06,000000,55.35,153870
БСП ао,D,2016-06-07,000000,56.25,29520
БСП ао,D,2016-06-08,000000,56.2,26420
БСП ао,D,2016-06-09,000000,56.45,66720
БСП ао,D,2016-06-10,000000,55.65,38000
БСП ао,D,2016-06-11,000000,55.65,0
БСП ао,D,2016-06-12,000000,55.65,0
БСП ао,D,2016-06-13,000000,55.65,0
БСП ао,D,2016-06-14,000000,54.1,157500
БСП ао,D,2016-06-15,000000,53.5,209190
БСП ао,D,2016-06-16,000000,53,24170
БСП ао,D,2016-06-17,000000,52.5,130820
БСП ао,D,2016-06-18,000000,52.5,0
БСП ао,D,2016-06-19,000000,52.5,0
БСП ао,D,2016-06-20,000000,53.1,155210
БСП ао,D,2016-06-21,000000,52.95,12250
БСП ао,D,2016-06-22,000000,54.3,262940
БСП ао,D,2016-06-23,000000,54.9,150030
БСП ао,D,2016-06-24,000000,52.4,94840
БСП ао,D,2016-06-25,000000,52.4,0
БСП ао,D,2016-06-26,000000,52.4,0
БСП ао,D,2016-06-27,000000,52,157710
БСП ао,D,2016-06-28,000000,52.5,91010
БСП ао,D,2016-06-29,000000,51.95,38030
БСП ао,D,2016-06-30,000000,51.75,52260
БСП ао,D,2016-07-01,000000,51.8,28390
БСП ао,D,2016-07-02,000000,51.8,0
БСП ао,D,2016-07-03,000000,51.8,0
БСП ао,D,2016-07-04,000000,50.5,148240
БСП ао,D,2016-07-05,000000,49.95,70680
БСП ао,D,2016-07-06,000000,49.75,38620
БСП ао,D,2016-07-07,000000,49.6,61740
БСП ао,D,2016-07-08,000000,50.5,48570
БСП ао,D,2016-07-09,000000,50.5,0
БСП ао,D,2016-07-10,000000,50.5,0
БСП ао,D,2016-07-11,000000,51.85,76510
БСП ао,D,2016-07-12,000000,52,27250
БСП ао,D,2016-07-13,000000,52,41560
БСП ао,D,2016-07-14,000000,52,42500
БСП ао,D,2016-07-15,000000,53.9,56960
БСП ао,D,2016-07-16,000000,53.9,0
БСП ао,D,2016-07-17,000000,53.9,0
БСП ао,D,2016-07-18,000000,56.3,182750
БСП ао,D,2016-07-19,000000,56,88160
БСП ао,D,2016-07-20,000000,56.75,196660
БСП ао,D,2016-07-21,000000,56.75,36630
БСП ао,D,2016-07-22,000000,55.8,58030
БСП ао,D,2016-07-23,000000,55.8,0
БСП ао,D,2016-07-24,000000,55.8,0
БСП ао,D,2016-07-25,000000,55.25,51540
БСП ао,D,2016-07-26,000000,54.7,28700
БСП ао,D,2016-07-27,000000,54,45320
БСП ао,D,2016-07-28,000000,54.45,72500
БСП ао,D,2016-07-29,000000,58.35,252680
БСП ао,D,2016-07-30,000000,58.35,0
БСП ао,D,2016-07-31,000000,58.35,0
